Date,"USD/CHF(Open, Ask)","USD/CHF(High, Ask)","USD/CHF(Low, Ask)","USD/CHF(Close, Ask)","USD/CHF(Open, Bid)*","USD/CHF(High, Bid)*","USD/CHF(Low, Bid)*","USD/CHF(Close, Bid)*"
09/06/2016 21:04:00,0.97031,0.97032,0.97014,0.97014,0.97025,0.97027,0.97008,0.97008
09/06/2016 21:03:00,0.97042,0.97044,0.97027,0.97031,0.97035,0.97039,0.97021,0.97025
09/06/2016 21:02:00,0.97032,0.97042,0.97031,0.97042,0.97026,0.97036,0.97024,0.97035
09/06/2016 21:01:00,0.97038,0.97039,0.97030,0.97032,0.97033,0.97033,0.97022,0.97026
09/06/2016 21:00:00,0.97024,0.97039,0.97021,0.97038,0.97016,0.97033,0.97014,0.97033
09/06/2016 20:59:00,0.97022,0.97026,0.97021,0.97024,0.97017,0.97020,0.97013,0.97016
09/06/2016 20:58:00,0.96986,0.97022,0.96986,0.97022,0.96980,0.97017,0.96978,0.97017
09/06/2016 20:57:00,0.96967,0.96986,0.96967,0.96986,0.96961,0.96981,0.96960,0.96980
09/06/2016 20:56:00,0.96973,0.96973,0.96959,0.96967,0.96967,0.96967,0.96952,0.96961
09/06/2016 20:55:00,0.96994,0.96997,0.96973,0.96973,0.96989,0.96992,0.96967,0.96967
09/06/2016 20:54:00,0.96997,0.97016,0.96994,0.96994,0.96991,0.97011,0.96987,0.96989
09/06/2016 20:53:00,0.96999,0.97002,0.96995,0.96997,0.96993,0.96996,0.96988,0.96991
09/06/2016 20:52:00,0.97010,0.97010,0.96986,0.96999,0.97004,0.97004,0.96982,0.96993
09/06/2016 20:51:00,0.97015,0.97017,0.97009,0.97010,0.97008,0.97011,0.97001,0.97004
09/06/2016 20:50:00,0.97008,0.97017,0.97007,0.97015,0.97003,0.97012,0.97001,0.97008
09/06/2016 20:49:00,0.97007,0.97009,0.97006,0.97008,0.97001,0.97004,0.96999,0.97003
09/06/2016 20:48:00,0.96992,0.97010,0.96990,0.97007,0.96986,0.97004,0.96983,0.97001
09/06/2016 20:47:00,0.96978,0.97000,0.96978,0.96992,0.96973,0.96994,0.96972,0.96986
09/06/2016 20:46:00,0.96966,0.96978,0.96962,0.96978,0.96962,0.96973,0.96960,0.96973
09/06/2016 20:45:00,0.96996,0.96996,0.96962,0.96966,0.96989,0.96989,0.96961,0.96962
09/06/2016 20:44:00,0.97015,0.97015,0.96989,0.96996,0.97010,0.97010,0.96986,0.96989
09/06/2016 20:43:00,0.97044,0.97044,0.97014,0.97015,0.97037,0.97037,0.97009,0.97010
09/06/2016 20:42:00,0.97034,0.97050,0.97034,0.97044,0.97025,0.97040,0.97025,0.97037
09/06/2016 20:41:00,0.97034,0.97035,0.97029,0.97034,0.97026,0.97028,0.97021,0.97025
09/06/2016 20:40:00,0.97033,0.97039,0.97031,0.97034,0.97025,0.97032,0.97023,0.97026
09/06/2016 20:39:00,0.97043,0.97044,0.97031,0.97033,0.97035,0.97035,0.97023,0.97025
09/06/2016 20:38:00,0.97037,0.97045,0.97031,0.97043,0.97030,0.97036,0.97024,0.97035
09/06/2016 20:37:00,0.97034,0.97043,0.97034,0.97037,0.97028,0.97034,0.97027,0.97030
09/06/2016 20:36:00,0.97033,0.97037,0.97022,0.97034,0.97025,0.97029,0.97015,0.97028
09/06/2016 20:35:00,0.97038,0.97045,0.97032,0.97033,0.97033,0.97037,0.97025,0.97025
09/06/2016 20:34:00,0.97029,0.97041,0.97029,0.97038,0.97026,0.97034,0.97025,0.97033
09/06/2016 20:33:00,0.97024,0.97029,0.97008,0.97029,0.97017,0.97026,0.97001,0.97026
09/06/2016 20:32:00,0.97013,0.97034,0.97006,0.97024,0.97005,0.97028,0.96998,0.97017
09/06/2016 20:31:00,0.97009,0.97025,0.97005,0.97013,0.97001,0.97017,0.97000,0.97005
09/06/2016 20:30:00,0.97015,0.97015,0.97003,0.97009,0.97006,0.97006,0.96995,0.97001
09/06/2016 20:29:00,0.97011,0.97019,0.97006,0.97015,0.97004,0.97011,0.96997,0.97006
09/06/2016 20:28:00,0.97001,0.97013,0.97001,0.97011,0.96994,0.97007,0.96994,0.97004
09/06/2016 20:27:00,0.97012,0.97022,0.96993,0.97001,0.97004,0.97014,0.96986,0.96994
09/06/2016 20:26:00,0.97001,0.97013,0.97001,0.97012,0.96994,0.97005,0.96994,0.97004
09/06/2016 20:25:00,0.97005,0.97008,0.96999,0.97001,0.96997,0.97001,0.96992,0.96994
09/06/2016 20:24:00,0.96987,0.97006,0.96987,0.97005,0.96980,0.97001,0.96978,0.96997
09/06/2016 20:23:00,0.96993,0.97002,0.96984,0.96987,0.96986,0.96993,0.96977,0.96980
09/06/2016 20:22:00,0.97011,0.97013,0.96993,0.96993,0.97003,0.97006,0.96986,0.96986
09/06/2016 20:21:00,0.97019,0.97021,0.97005,0.97011,0.97011,0.97014,0.96997,0.97003
09/06/2016 20:20:00,0.97008,0.97019,0.97008,0.97019,0.97001,0.97012,0.97001,0.97011
09/06/2016 20:19:00,0.96984,0.97011,0.96979,0.97008,0.96976,0.97003,0.96973,0.97001
09/06/2016 20:18:00,0.96975,0.96987,0.96975,0.96984,0.96967,0.96979,0.96967,0.96976
09/06/2016 20:17:00,0.96969,0.96977,0.96969,0.96975,0.96961,0.96968,0.96961,0.96967
09/06/2016 20:16:00,0.96981,0.96984,0.96969,0.96969,0.96975,0.96976,0.96961,0.96961
09/06/2016 20:15:00,0.96975,0.96985,0.96975,0.96981,0.96967,0.96977,0.96967,0.96975
09/06/2016 20:14:00,0.96993,0.96993,0.96967,0.96975,0.96985,0.96985,0.96959,0.96967
09/06/2016 20:13:00,0.96995,0.97004,0.96982,0.96993,0.96988,0.96996,0.96975,0.96985
09/06/2016 20:12:00,0.97003,0.97009,0.96994,0.96995,0.96996,0.97002,0.96986,0.96988
09/06/2016 20:11:00,0.96999,0.97004,0.96989,0.97003,0.96992,0.96996,0.96982,0.96996
09/06/2016 20:10:00,0.97001,0.97001,0.96988,0.96999,0.96994,0.96994,0.96980,0.96992
09/06/2016 20:09:00,0.96999,0.97001,0.96994,0.97001,0.96993,0.96994,0.96987,0.96994
09/06/2016 20:08:00,0.96998,0.97000,0.96992,0.96999,0.96991,0.96993,0.96985,0.96993
09/06/2016 20:07:00,0.96992,0.96998,0.96990,0.96998,0.96984,0.96992,0.96983,0.96991
09/06/2016 20:06:00,0.96998,0.97001,0.96990,0.96992,0.96991,0.96994,0.96983,0.96984
09/06/2016 20:05:00,0.96999,0.97000,0.96991,0.96998,0.96992,0.96994,0.96984,0.96991
09/06/2016 20:04:00,0.97015,0.97018,0.96991,0.96999,0.97008,0.97011,0.96983,0.96992
09/06/2016 20:03:00,0.97014,0.97020,0.97010,0.97015,0.97006,0.97012,0.97003,0.97008
09/06/2016 20:02:00,0.97045,0.97056,0.97014,0.97014,0.97038,0.97048,0.97006,0.97006
09/06/2016 20:01:00,0.97029,0.97056,0.97029,0.97045,0.97022,0.97048,0.97022,0.97038
09/06/2016 20:00:00,0.97031,0.97038,0.97012,0.97029,0.97022,0.97031,0.97005,0.97022
09/06/2016 19:59:00,0.97010,0.97035,0.97004,0.97031,0.97002,0.97028,0.96997,0.97022
09/06/2016 19:58:00,0.97007,0.97011,0.97003,0.97010,0.97001,0.97006,0.96996,0.97002
09/06/2016 19:57:00,0.97006,0.97009,0.96996,0.97007,0.96998,0.97003,0.96990,0.97001
09/06/2016 19:56:00,0.97006,0.97011,0.97000,0.97006,0.97000,0.97002,0.96993,0.96998
09/06/2016 19:55:00,0.96999,0.97011,0.96995,0.97006,0.96993,0.97003,0.96987,0.97000
