Date,"AUD/USD(Open, Ask)","AUD/USD(High, Ask)","AUD/USD(Low, Ask)","AUD/USD(Close, Ask)","AUD/USD(Open, Bid)*","AUD/USD(High, Bid)*","AUD/USD(Low, Bid)*","AUD/USD(Close, Bid)*"
08/31/2016 08:36:00,0.75086,0.75097,0.75086,0.75095,0.75082,0.75092,0.75081,0.75090
08/31/2016 08:35:00,0.75113,0.75121,0.75077,0.75086,0.75108,0.75116,0.75072,0.75082
08/31/2016 08:34:00,0.75116,0.75125,0.75105,0.75113,0.75112,0.75120,0.75101,0.75108
08/31/2016 08:33:00,0.75126,0.75127,0.75112,0.75116,0.75122,0.75124,0.75109,0.75112
08/31/2016 08:32:00,0.75115,0.75126,0.75108,0.75126,0.75111,0.75122,0.75103,0.75122
08/31/2016 08:31:00,0.75108,0.75126,0.75106,0.75115,0.75102,0.75121,0.75100,0.75111
08/31/2016 08:30:00,0.75092,0.75116,0.75086,0.75108,0.75087,0.75112,0.75081,0.75102
08/31/2016 08:29:00,0.75083,0.75097,0.75078,0.75092,0.75079,0.75092,0.75072,0.75087
08/31/2016 08:28:00,0.75079,0.75087,0.75076,0.75083,0.75074,0.75083,0.75072,0.75079
08/31/2016 08:27:00,0.75075,0.75084,0.75061,0.75079,0.75072,0.75079,0.75058,0.75074
08/31/2016 08:26:00,0.75068,0.75076,0.75067,0.75075,0.75063,0.75073,0.75062,0.75072
08/31/2016 08:25:00,0.75074,0.75084,0.75066,0.75068,0.75069,0.75079,0.75062,0.75063
08/31/2016 08:24:00,0.75064,0.75075,0.75064,0.75074,0.75061,0.75071,0.75061,0.75069
08/31/2016 08:23:00,0.75075,0.75084,0.75064,0.75064,0.75071,0.75080,0.75061,0.75061
08/31/2016 08:22:00,0.75085,0.75095,0.75068,0.75075,0.75080,0.75089,0.75065,0.75071
08/31/2016 08:21:00,0.75100,0.75107,0.75083,0.75085,0.75098,0.75103,0.75078,0.75080
08/31/2016 08:20:00,0.75139,0.75139,0.75098,0.75100,0.75134,0.75134,0.75094,0.75098
08/31/2016 08:19:00,0.75162,0.75167,0.75136,0.75139,0.75157,0.75162,0.75132,0.75134
08/31/2016 08:18:00,0.75173,0.75176,0.75155,0.75162,0.75167,0.75172,0.75150,0.75157
08/31/2016 08:17:00,0.75135,0.75193,0.75135,0.75173,0.75129,0.75189,0.75129,0.75167
08/31/2016 08:16:00,0.75132,0.75141,0.75118,0.75135,0.75128,0.75137,0.75113,0.75129
08/31/2016 08:15:00,0.75198,0.75198,0.75125,0.75132,0.75175,0.75180,0.75120,0.75128
08/31/2016 08:14:00,0.75156,0.75198,0.75155,0.75198,0.75149,0.75185,0.75148,0.75175
08/31/2016 08:13:00,0.75153,0.75156,0.75153,0.75156,0.75149,0.75150,0.75147,0.75149
08/31/2016 08:12:00,0.75147,0.75153,0.75144,0.75153,0.75143,0.75149,0.75139,0.75149
08/31/2016 08:11:00,0.75158,0.75158,0.75141,0.75147,0.75153,0.75153,0.75136,0.75143
08/31/2016 08:10:00,0.75165,0.75165,0.75157,0.75158,0.75159,0.75159,0.75153,0.75153
08/31/2016 08:09:00,0.75161,0.75170,0.75161,0.75165,0.75157,0.75166,0.75156,0.75159
08/31/2016 08:08:00,0.75164,0.75166,0.75151,0.75161,0.75160,0.75161,0.75149,0.75157
08/31/2016 08:07:00,0.75156,0.75166,0.75156,0.75164,0.75152,0.75162,0.75149,0.75160
08/31/2016 08:06:00,0.75169,0.75169,0.75156,0.75156,0.75162,0.75163,0.75150,0.75152
08/31/2016 08:05:00,0.75177,0.75187,0.75163,0.75169,0.75173,0.75182,0.75160,0.75162
08/31/2016 08:04:00,0.75163,0.75186,0.75147,0.75177,0.75159,0.75181,0.75142,0.75173
08/31/2016 08:03:00,0.75157,0.75164,0.75152,0.75163,0.75152,0.75160,0.75148,0.75159
08/31/2016 08:02:00,0.75156,0.75163,0.75152,0.75157,0.75152,0.75158,0.75147,0.75152
08/31/2016 08:01:00,0.75182,0.75182,0.75153,0.75156,0.75179,0.75179,0.75149,0.75152
08/31/2016 08:00:00,0.75182,0.75188,0.75174,0.75182,0.75178,0.75184,0.75171,0.75179
08/31/2016 07:59:00,0.75176,0.75187,0.75176,0.75182,0.75171,0.75184,0.75171,0.75178
08/31/2016 07:58:00,0.75177,0.75177,0.75171,0.75176,0.75174,0.75174,0.75166,0.75171
08/31/2016 07:57:00,0.75195,0.75195,0.75175,0.75177,0.75191,0.75191,0.75172,0.75174
08/31/2016 07:56:00,0.75204,0.75204,0.75195,0.75195,0.75200,0.75200,0.75190,0.75191
08/31/2016 07:55:00,0.75206,0.75214,0.75203,0.75204,0.75202,0.75208,0.75200,0.75200
08/31/2016 07:54:00,0.75196,0.75208,0.75196,0.75206,0.75192,0.75204,0.75191,0.75202
08/31/2016 07:53:00,0.75196,0.75199,0.75194,0.75196,0.75192,0.75196,0.75190,0.75192
08/31/2016 07:52:00,0.75207,0.75207,0.75196,0.75196,0.75203,0.75203,0.75192,0.75192
08/31/2016 07:51:00,0.75205,0.75208,0.75195,0.75207,0.75201,0.75206,0.75192,0.75203
