Date,"EUR/USD(Open, Ask)","EUR/USD(High, Ask)","EUR/USD(Low, Ask)","EUR/USD(Close, Ask)","EUR/USD(Open, Bid)*","EUR/USD(High, Bid)*","EUR/USD(Low, Bid)*","EUR/USD(Close, Bid)*"
09/06/2016 22:12:00,1.12483,1.12489,1.12482,1.12488,1.12479,1.12485,1.12478,1.12485
09/06/2016 22:11:00,1.12482,1.12487,1.12479,1.12483,1.12478,1.12484,1.12475,1.12479
09/06/2016 22:10:00,1.12479,1.12487,1.12479,1.12482,1.12477,1.12484,1.12477,1.12478
09/06/2016 22:09:00,1.12472,1.12482,1.12472,1.12479,1.12468,1.12479,1.12468,1.12477
09/06/2016 22:08:00,1.12482,1.12482,1.12471,1.12472,1.12478,1.12478,1.12468,1.12468
09/06/2016 22:07:00,1.12470,1.12482,1.12468,1.12482,1.12467,1.12479,1.12465,1.12478
09/06/2016 22:06:00,1.12456,1.12472,1.12456,1.12470,1.12454,1.12469,1.12454,1.12467
09/06/2016 22:05:00,1.12459,1.12474,1.12456,1.12456,1.12456,1.12468,1.12454,1.12454
09/06/2016 22:04:00,1.12457,1.12462,1.12454,1.12459,1.12453,1.12458,1.12450,1.12456
09/06/2016 22:03:00,1.12463,1.12468,1.12447,1.12457,1.12461,1.12464,1.12443,1.12453
09/06/2016 22:02:00,1.12473,1.12474,1.12462,1.12463,1.12469,1.12470,1.12460,1.12461
09/06/2016 22:01:00,1.12470,1.12474,1.12467,1.12473,1.12467,1.12470,1.12463,1.12469
09/06/2016 22:00:00,1.12461,1.12472,1.12461,1.12470,1.12457,1.12468,1.12457,1.12467
09/06/2016 21:59:00,1.12457,1.12461,1.12451,1.12461,1.12453,1.12458,1.12447,1.12457
09/06/2016 21:58:00,1.12456,1.12463,1.12455,1.12457,1.12453,1.12462,1.12452,1.12453
09/06/2016 21:57:00,1.12461,1.12461,1.12455,1.12456,1.12457,1.12457,1.12451,1.12453
09/06/2016 21:56:00,1.12458,1.12464,1.12456,1.12461,1.12454,1.12460,1.12452,1.12457
